question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-003-018-003;What electrical hazard, if any, does the starter battery in a vehicle present?;High short-circuit current;None, given its low voltage;High electromagnetic fields;Possibility of electric shock;Quel risque électrique, le cas échéant, présente la batterie de démarrage d'un véhicule?;Un courant en court-circuit très élevé;Aucun, compte tenu de sa faible tension;Des champs électromagnétiques élevés;Une possibilité de choc électrique
B-003-018-004;Why would there be a switch in a high-voltage power supply to turn off the power if its cabinet is opened?;To keep anyone opening the cabinet from getting shocked by dangerous high voltages;To keep dangerous RF radiation from leaking out through an open cabinet;To keep dangerous RF radiation from coming in through an open cabinet;To turn the power supply off when it is not being used;Pourquoi un bloc d'alimentation de haut voltage serait-il muni d'un interrupteur le mettant hors tension lorsque le cabinet est ouvert?;Afin de prévenir tout risque d'électrocution dû aux voltages dangereux présents à l'intérieur du cabinet;Pour empêcher tout rayonnement RF de s'échapper de l'appareil;Pour empêcher tout rayonnement RF dangereux de s'infiltrer dans l'appareil lorsque ce dernier est ouvert;Pour mettre le bloc d'alimentation hors tension lorsque ce dernier n'est pas utilisé
B-003-018-005;What is the minimum electrical current that can be fatal to the human body?;20 milliamperes;500 milliamperes;1 ampere;2 amperes;Quel est le courant électrique minimal qui peut être mortel pour le corps humain?;20 milliampères;500 milliampères;1 ampère;2 ampères
B-003-018-006;Which body organ can be fatally affected by a very small amount of electrical current?;The heart;The brain;The liver;The lungs;Quel organe du corps humain peut être atteint fatalement par un courant électrique de faible intensité?;Le coeur;Le cerveau;Le foie;Les poumons
B-003-018-007;What is the lowest voltage that is usually considered hazardous to humans?;30;100;240;347;Quelle tension minimale est habituellement considérée comme dangereuse pour les humains?;30;100;240;347
B-003-018-008;What should you do if you discover someone who is being burned by high voltage?;Turn off the power, call for emergency help and provide first aid if needed;Wait for a few minutes to see if the person can get away from the high voltage on their own, then try to help;Immediately drag the person away from the high voltage;Run from the area so you won't be burned too;Que devriez-vous faire si vous apercevez quelqu'un qui est en contact avec une source de haute tension?;Couper le courant, demander l'aide d'urgence et donner les premiers soins si nécessaire;Attendre quelques minutes pour voir si la personne peut s'éloigner elle-même de la haute tension, ensuite essayer de l'aider;Éloigner immédiatement la personne de la source de haute tension;Vous éloigner rapidement des lieux pour ne pas être atteint par le courant électrique
B-003-018-009;What is the safest method to remove an unconscious person from contact with a high-voltage source?;De-energize the power source before touching the person;Wrap the person in a blanket and pull him to a safe area;Call an electrician;Remove the person by pulling an arm or a leg;Quelle est la méthode la plus sécuritaire pour soustraire une personne inconsciente à tout contact avec une source de haute tension?;Mettre la source d'alimentation hors tension avant de toucher la personne;La couvrir d'une couverture et la traîner vers un endroit sécuritaire;Faire venir un électricien;Tirer la personne par un bras ou une jambe
B-003-018-010;Before checking a fault in a mains-operated power supply unit, it would be safest to first:;turn off the power and unplug the power cord;short out the leads of the filter capacitor;check the action of the capacitor bleeder resistance;remove and check the fuse from the power supply;Avant de réparer un bloc d'alimentation branché sur le secteur CA, il est plus sécuritaire de commencer par:;mettre l'équipement hors tension et débrancher le cordon d'alimentation;court-circuiter les bornes du condensateur de filtrage;vérifier le fonctionnement de la résistance de décharge du condensateur;enlever et vérifier le fusible du bloc d'alimentation
B-003-018-011;What is the risk involved in troubleshooting a live power supply?;Electric shock;Damaging connected equipment;Electromagnetic interference;Blowing the fuse;Quel est le risque de tenter de localiser un problème dans un bloc d'alimentation en fonction?;De subir un choc électrique;D'endommager l'équipement raccordé au bloc;De créer des perturbations électromagnétiques;De faire sauter un fusible
B-003-019-001;For best protection from electrical shock, what should be grounded in your station?;All station equipment;The transmission line;The AC power line;The power supply primary;Pour une bonne protection contre les chocs électriques, quels sont les appareils de la station qui doivent être reliés à une prise de terre?;Tous les appareils de la station;La ligne de transmission;La ligne électrique;Le primaire du bloc d'alimentation
B-003-019-002;Established practice demands that all ground electrodes be bonded together with heavy conductors. What protection does this provide in case of a lightning strike?;Prevents voltage differences between devices;Establishes a ground (reference) plane at the station;Drains static electricity on a continuous basis;Reduces induced current by adding impedance;Une pratique établie exige que toutes les prises de terre soient reliées entre elles par des conducteurs de fort calibre. Quelle protection cela offre-t-il en cas de coup de foudre?;Empêche les différences de potentiel entre les appareils;Établit un plan de masse (de référence) à la station;Évacue l'électricité statique de manière continue;Réduit le courant induit en ajoutant de l'impédance
B-003-019-003;Why should you never use a fuse with a higher current rating than specified?;A fault may cause permanent damage, including a fire;The fuse may open during normal operation;Voltage delivered to the circuit would be limited;A low current circuit may not function properly;Pourquoi ne devriez-vous jamais utiliser un fusible d'un courant nominal supérieur à celui spécifié?;Une défectuosité du circuit pourrait causer des dommages permanents, y compris un feu;Le fusible pourrait s'ouvrir pendant le fonctionnement normal;La tension fournie au circuit serait limitée;Un circuit à faible courant pourrait ne pas fonctionner correctement
B-003-019-004;Which of these materials is best for a ground rod driven into the earth?;Copper-clad steel;Hard plastic;Iron or steel;Fibreglass;Parmi les matériaux suivants, lequel est le meilleur pour servir de mise à la terre?;Une tige d'acier recouverte de cuivre;Du plastique rigide;Du fer ou de l'acier;De la fibre de verre
B-003-019-005;You need to work on a power supply that has been taken offline. What is the first thing you should do once the cabinet is open?;Discharge the filter capacitors;Bond the chassis to ground;Place the unit on an insulating mat;Short the AC input leads together;Vous devez travailler sur un bloc d'alimentation déjà mis hors tension. Quelle est la première chose à faire une fois le couvercle enlevé?;Décharger les condensateurs de filtrage;Relier le châssis à la terre;Placer l'appareil sur un tapis isolant;Court-circuiter les fils du cordon d'alimentation
B-003-019-006;Where should the green wire in a three-wire AC line cord be connected in a power supply?;To the chassis;To the white wire;To the "hot" side of the power switch;To the fuse;Dans un bloc d'alimentation, où doit-on relier le fil vert d'un cordon à trois fils servant à l'alimentation CA?;Au châssis;Au fil blanc;À la borne sous tension de l'interrupteur marche/arrêt;Au fusible
B-003-019-007;Your third-floor station has a ground wire running 10 metres down to a ground rod. You get an RF burn when you touch your HF transceiver while transmitting. What is the likely cause?;The ground wire has high impedance on your operating frequency;The transmitting antenna is not the correct wavelength;The gauge of the ground wire used is insufficient;The ground connection of the wall outlet is defective;Votre station est située au 3e étage et le fil de mise à la terre mesure 10 mètres. Vous subissez une brûlure RF en touchant votre émetteur-récepteur HF lorsque vous émettez. Quelle en est la cause probable?;Le fil de mise à la terre offre une impédance élevée à cette fréquence;L'antenne émettrice n'a pas la bonne longueur d'onde;Le calibre du fil de terre utilisé est insuffisant;La mise à la terre de la prise de courant murale est défectueuse
B-003-019-008;You are using an HF off-centre-fed (OCF) unbalanced antenna. When you transmit on SSB, distorted audio and noise are heard from an outboard amplified speaker. What device could you install in the transmission line to mitigate this problem?;A common-mode choke;A low-pass filter;A surge suppressor;An antenna tuner;Vous utilisez une antenne dipôle HF asymétrique ("OCF"). Lorsque vous émettez en BLU, un son déformé et du bruit sont entendus depuis un haut-parleur amplifié externe. Quel dispositif pourriez-vous installer dans la ligne de transmission pour atténuer ce problème?;Une bobine d'arrêt en mode commun ("common-mode choke");Un filtre passe-bas;Un parasurtenseur;Un bloc d'accord d'antenne
B-003-019-009;What is a safe method to discharge power supply filter capacitors?;Use an insulated shorting stick with an inline resistor;Use a long screwdriver with an insulated handle;Use an insulated wire with alligator clips on each end;Allow time for bleeder resistors to discharge the capacitors;Quelle est une méthode sécuritaire pour décharger les condensateurs de filtrage dans un bloc d'alimentation?;Utiliser une sonde isolée reliée à la masse par une résistance en série ("shorting stick");Utiliser un long tournevis avec un manche isolé;Utiliser un fil isolé muni de pinces crocodile à chaque extrémité;Laisser le temps aux résistances de décharge de dissiper l'énergie accumulée
B-003-019-010;On mains-operated power supplies, the ground wire of the AC line is connected to the power supply chassis. What protection does this provide if a fault occurs in the power supply?;Ensures the chassis does not become energized;Protects connected equipment from over voltage;Prevents damage to the AC supply circuit breaker;Prevents the equipment fuse from blowing unnecessarily;Dans un bloc d'alimentation fonctionnant sur le secteur CA, le fil de la mise à la terre est raccordé au châssis. Quelle protection cela offre-t-il en cas de défectuosité?;Cela prévient que le châssis prenne un potentiel élevé par rapport à la terre;Cela protège l'équipement des surtensions;Cela prévient que le disjoncteur d'alimentation CA soit endommagé;Cela prévient que le fusible de l'équipement ne saute inutilement
B-003-019-011;Why do fuses have a voltage rating?;To specify the voltage that can be interrupted without arcing;To prevent dielectric breakdown of the fuse holder;To limit current leakage to ground while in operation;To ensure voltage transients can be safely dissipated;Pourquoi les fusibles ont-ils une tension nominale?;Pour spécifier la tension qui peut être interrompue sans arc électrique;Pour éviter le claquage électrique du porte-fusible;Pour limiter les fuites de courant vers la terre pendant le fonctionnement;Pour garantir que les surtensions transitoires sont absorbées en toute sécurité
B-003-020-001;Why should you ground all antenna and rotator cables when your station is not in use?;To help protect the station equipment and building from lightning damage;To lock the antenna system in one position;To avoid radio frequency interference;To prevent unauthorized persons from using the station;Pourquoi mettre à la terre votre système d'antennes ainsi que le câble reliant le rotateur à votre station lorsque vous n'utilisez pas votre station?;Pour aider à protéger l'équipement de la station ainsi que le bâtiment des dommages causés par la foudre;Pour verrouiller le système d'antenne en place;Pour empêcher les perturbations électromagnétiques;Pour prévenir tout usage non autorisé de la station
B-003-020-002;You want to install a lightning surge protector on your transmission line, where should it be inserted?;Outside, as close to earth grounding as possible;Close to the antenna;Behind the transceiver;Anywhere on the line;Vous désirez installer un parafoudre sur votre ligne de transmission, où devrait-il être placé?;À l'extérieur, aussi près de la prise de terre que possible;À l'antenne;Derrière l'émetteur-récepteur;N'importe où sur la ligne
B-003-020-003;How can your station equipment best be protected from lightning damage?;Disconnect all equipment from the power lines and antenna cables;Use heavy insulation on the wiring;Never turn off the equipment;Disconnect the ground system from all radios;Comment protéger l'équipement de votre station contre les dommages causés par la foudre?;Débrancher l'équipement des lignes de transmission et de l'alimentation électrique;Employer des conducteurs recouverts d'une très bonne isolation;Ne jamais mettre vos appareils hors tension;Débrancher le système de mise à la terre sur tous les appareils radio
B-003-020-004;What equipment should be worn for working on an antenna tower?;Approved fall arrest equipment;A reflective vest;A pair of insulating gloves;A positioning waist belt;Que devrait-on porter pour travailler sur un pylône d'antenne?;Un système approuvé d'arrêt de chute;Un gilet de sécurité avec bandes réfléchissantes;Une paire de gants isolants;Une ceinture de positionnement
B-003-020-005;Why should you wear approved fall arrest equipment if you are working on an antenna tower?;To limit injuries if you fall;To bring any tools you might use up and down the tower safely;To keep the tower from becoming unstable while you are working;To hold your tools so they don't fall and injure someone on the ground;Pourquoi devriez-vous porter un système approuvé d'arrêt de chute si vous travaillez sur un pylône d'antenne?;Pour limiter les blessures en cas de chute;Pour monter et descendre vos outils de façon sécuritaire;Pour empêcher la tour de devenir instable pendant que vous travaillez;Pour empêcher vos outils de tomber par terre et de blesser quelqu'un
B-003-020-006;For safety, how high should you place a horizontal wire antenna?;High enough so that no one can touch any part of it from the ground;Above high-voltage electrical lines;Just high enough so you can easily reach it for adjustments or repairs;As close to the ground as possible;En ce qui a trait à la sécurité, quelle devrait être la hauteur minimale pour placer une antenne dont le fil est horizontal?;Une hauteur assez élevée pour que personne ne puisse y toucher lorsque vous émettez;Une hauteur qui situerait l'antenne au-dessus des lignes électriques à haut voltage;Une hauteur où vous pourrez atteindre l'antenne aisément pour faire des réglages ou des réparations;Une hauteur aussi près du sol que possible
B-003-020-007;Why should you wear a hard hat if you are on the ground helping someone work on an antenna tower?;To protect your head from something dropped from the tower;So you won't be hurt if the tower should accidentally fall;To keep RF energy away from your head during antenna testing;So someone passing by will know that work is being done on the tower and will stay away;Pourquoi devriez-vous porter un casque de sécurité lorsque vous êtes au sol en train d'aider quelqu'un qui travaille dans une tour?;Pour vous protéger la tête advenant la chute d'objets;Pour ne pas être blessé advenant le cas où la tour tomberait;Pour vous protéger du rayonnement RF lors de tests faits sur l'antenne;Pour indiquer aux passants que des travaux sont faits dans la tour et qu'il faut s'en éloigner
B-003-020-008;Why should your outside antennas be high enough so that no one can touch them while you are transmitting?;Touching the antenna might cause RF burns;Touching the antenna might reflect the signal back to the transmitter and cause damage;Touching the antenna might radiate harmonics;Touching the antenna might cause television interference;Pourquoi les antennes extérieures doivent-elles être localisées assez hautes pour que personne ne puisse y toucher lorsque vous émettez?;Toucher à une antenne pourrait provoquer des brûlures RF;Toucher à l'antenne pourrait provoquer une réflexion du signal vers l'émetteur et causer des dommages;Toucher à l'antenne pourrait provoquer des harmoniques;Toucher à l'antenne pourrait provoquer du brouillage dans les téléviseurs
B-003-020-009;Why should you make sure that no one can touch an open-wire transmission line while you are transmitting with it?;Because high-voltage radio energy might burn the person;Because contact might break the transmission line;Because contact might cause spurious emissions;Because contact might cause a short circuit and damage the transmitter;Pourquoi devriez-vous vous assurer que personne ne peut toucher une ligne ouverte, dite "en échelle", lorsque vous émettez?;Parce que l'énergie RF à haut voltage pourrait brûler la personne;Parce que toucher la ligne pourrait la briser;Parce que toucher la ligne pourrait produire des rayonnements non essentiels;Parce que toucher la ligne pourrait produire un court-circuit et endommager l'émetteur
B-003-020-010;What safety precautions should you take before beginning repairs on an antenna?;Be sure to turn off the transmitter and disconnect the transmission line;Be sure the antenna structure is properly grounded;Plan the operation in the shortest possible time to minimize fatigue;Ensure all masts to be installed are sufficiently light;Quelles précautions de sécurité devriez-vous prendre avant de commencer des réparations sur une antenne?;Vérifier que l'émetteur est hors tension et que la ligne de transmission est débranchée;Vérifier que la structure de l'antenne est correctement mise à la terre;Planifier un travail aussi expéditif que possible pour minimiser la fatigue;Vérifier que tous les mâts à installer sont suffisamment légers
B-003-020-011;What safety precaution is especially important for a ground-mounted antenna?;Ensure people are kept at a safe distance;Ensure the feed point is at eye level;Ensure the location is as dry as possible;All radials should be buried at least 15 cm deep;Quelle mesure de sécurité est particulièrement importante pour une antenne montée au sol?;Veiller à ce que personne ne puisse s'approcher en deçà d'une distance sécuritaire;Installer le point d'alimentation au niveau des yeux;Choisir un emplacement aussi sec que possible;Veiller à ce que les fils radiaux soient enterrés à au moins 15 cm de profondeur
B-003-021-001;What should you do for safety when operating at UHF and microwave frequencies?;Keep antenna away from your eyes when RF is applied;Make sure that an RF leakage filter is installed at the antenna feed point;Make sure the standing wave ratio is low before you conduct a test;Never use a horizontally polarized antenna;Quelle précaution devriez-vous prendre lorsque vous opérez en UHF ou en micro-ondes?;Tenir l'antenne loin de vos yeux lorsque vous émettez;Vous assurer qu'un filtre de fuite RF a été installé au point d'alimentation de l'antenne;Vous assurer que le rapport d'onde stationnaire est bas avant d'effectuer un essai;Ne jamais employer une antenne polarisée horizontalement
B-003-021-002;What should you do for safety if you put up a UHF transmitting antenna?;Make sure the antenna will be in a place where no one can get near it when you are transmitting;Make sure the antenna is near the ground to keep its RF energy pointing in the correct direction;Make sure you connect an RF leakage filter at the antenna feed point;Make sure that RF field screens are in place;Quelles précautions devriez-vous prendre lorsque vous érigez une antenne UHF?;Vous assurer que l'antenne est localisée à un endroit où personne n'a accès lorsque vous émettez;Vous assurer que l'antenne est près du sol pour permettre à l'énergie RF de se diriger dans la bonne direction;Vous assurer de brancher un filtre de fuite RF au point d'alimentation de l'antenne;Vous assurer que le blindage RF est en place
B-003-021-003;What should you do for safety, before removing the shielding on a UHF power amplifier?;Make sure the amplifier cannot accidentally be turned on;Make sure that RF leakage filters are connected;Make sure the amplifier output connector is grounded;Make sure all RF screens are in place at the amplifier output connector;Quelle précaution devriez-vous prendre lorsque vous enlevez le blindage métallique d'un amplificateur UHF?;Vous assurer que personne ne peut mettre l'amplificateur sous tension accidentellement;Vous assurer que les filtres de fuite RF sont bien branchés;Vous assurer que le connecteur de sortie est mis à la terre;Vous assurer qu'un blindage RF est placé au connecteur de sortie
B-003-021-004;Why should you make sure the antenna of a hand-held transceiver is not close to your head when transmitting?;To reduce your exposure to the radio frequency energy;To use your body to reflect the signal in one direction;To keep static charges from building up;To help the antenna radiate energy equally in all directions;Pourquoi devriez-vous vous assurer que l'antenne d'un émetteur portatif n'est pas trop près de votre tête lorsque vous émettez?;Pour réduire l'exposition à l'énergie des radiofréquences;Pour utiliser votre corps afin de réfléchir le signal dans une direction;Pour empêcher les charges d'électricité statique de s'accumuler;Pour que l'antenne puisse émettre dans toutes les directions
B-003-021-005;How should you position the antenna of a hand-held transceiver while you are transmitting?;Away from your head and away from others;Pointed towards the station you are contacting;Pointed at the horizon;Pointed down to bounce the signal off the ground;Comment devriez-vous tenir l'antenne d'un émetteur portatif lorsque vous émettez?;Antenne éloignée de votre tête et des autres personnes;Antenne orientée vers la station contactée;Antenne orientée vers l'horizon;Antenne orientée vers le sol pour permettre le rebondissement du signal
B-003-021-006;How can exposure to a large amount of RF energy affect body tissue?;It heats the tissue;It lowers blood pressure;It paralyzes the tissue;It restricts blood flow;Comment l'exposition à une forte énergie RF peut-elle affecter les tissus du corps humain?;Elle chauffe les tissus;Elle réduit la pression artérielle;Elle paralyse les tissus;Elle restreint la circulation sanguine
B-003-021-007;Which body organ is the most likely to be damaged from the heating effects of RF radiation?;Eyes;Heart;Liver;Hands;Quel organe du corps humain risque d'être le plus endommagé par la chaleur due au rayonnement RF?;Les yeux;Le coeur;Le foie;Les mains
B-003-021-008;How does the power density of an electromagnetic wave change as it propagates away from an antenna in free space?;It decreases as the square of the distance;It decreases linearly with the distance;It decreases in inverse proportion to the distance;It decreases at a rate depending on ground absorption;Comment la densité de puissance d'une onde électromagnétique change-t-elle à mesure qu'elle s'éloigne d'une antenne en espace libre ("free space")?;Elle diminue selon le carré de la distance;Elle diminue linéairement avec la distance;Elle diminue en proportion inverse de la distance;Elle diminue à un rythme dépendant de l'absorption du sol
B-003-021-009;If you operate your station with indoor antennas, what precautions should you take when you install them?;Locate the antennas as far away as possible from living spaces that will be occupied while you are operating;Position the antennas parallel to electrical power wires to take advantage of parasitic effects;Position the antennas along the edge of a wall where it meets the floor or ceiling to reduce parasitic radiation;Locate the antennas close to your operating position to minimize transmission line length;Si vous exploitez votre station avec des antennes localisées à l'intérieur, quelles précautions devriez-vous prendre lorsque vous les installez?;Installer vos antennes le plus loin possible des espaces qui seront occupés lorsque vous émettez;Placer les antennes parallèlement aux fils électriques afin de profiter de l'effet parasite;Placer les antennes aux angles des murs, des planchers ou des plafonds afin d'éviter les rayonnements parasites;Installer vos antennes le plus près possible de votre station afin de réduire la longueur de la ligne de transmission
B-003-021-010;Why should directional high-gain antennas be mounted higher than nearby structures?;So they will not direct RF energy toward people in nearby structures;So static electricity buildup is minimized;So they will not damage nearby structures with RF energy;So they will receive more sky waves and fewer ground waves;Pourquoi les antennes directionnelles à gain élevé devraient-elles être installées plus haut que les bâtiments environnants?;Pour éviter que l'énergie RF soit rayonnée vers les personnes qui résident dans ces bâtiments;Pour minimiser l'accumulation d'électricité statique;Pour que l'énergie RF n'endommage pas les bâtiments environnants;Pour qu'elles puissent capter plus d'ondes ionosphériques et moins d'ondes de sol
B-003-021-011;For best RF safety, where should the ends and centre of a dipole antenna be located?;As high as possible to prevent people from coming in contact with the antenna;Near or over moist ground so RF energy will be radiated away from the ground;As close to the transmitter as possible so RF energy will be concentrated near the transmitter;Close to the ground so simple adjustments can be easily made without climbing a ladder;Pour plus de sécurité en rapport avec l'énergie RF, où devrait-on localiser le centre et les extrémités des antennes dipôles?;Aussi haut que possible pour éviter que des personnes ne puissent entrer en contact avec l'antenne;Près ou au-dessus de terrains humides pour que l'énergie RF rayonne plus facilement à partir du sol;Aussi près de l'émetteur que possible afin de concentrer l'énergie RF alentour de celui-ci;Près du sol pour permettre des réglages sans avoir à recourir à une échelle
B-004-001-001;What term describes a circuit designed to increase the amplitude of a signal?;Amplifier;Modulator;Oscillator;Multiplier;Quel terme décrit un circuit conçu pour augmenter l'amplitude d'un signal?;Un amplificateur;Un modulateur;Un oscillateur;Un multiplicateur
B-004-001-002;If an amplifier becomes non-linear, the output signal would:;become distorted;be reduced to zero;cause oscillations;overload the power supply;Si un amplificateur devenait non linéaire, le signal de sortie:;serait affligé de distorsion;serait réduit à zéro;provoquerait des oscillations;surchargerait le bloc d'alimentation
B-004-001-003;To increase the level of very weak radio signals from an antenna, you would use:;an RF amplifier;an RF oscillator;an audio oscillator;an audio amplifier;Pour augmenter le niveau d'un signal radio très faible reçu par une antenne, on utilise:;un amplificateur RF;un oscillateur RF;un oscillateur audio;un amplificateur audio
B-004-001-004;To increase the level of very weak signals from a microphone you would use:;an audio amplifier;an RF oscillator;an RF amplifier;an audio oscillator;Pour augmenter les signaux très faibles arrivant d'un microphone, il faut employer:;un amplificateur audio;un oscillateur RF;un amplificateur RF;un oscillateur audio
B-004-001-005;What range of frequencies does the speech amplifier of an amateur radio transceiver typically process?;300 Hz to 3 000 Hz;3 Hz to 300 Hz;300 Hz to 1 000 Hz;40 Hz to 40 000 Hz;Typiquement, quelle gamme de fréquences l'amplificateur microphonique d'un émetteur-récepteur du service de radioamateur accepte-t-il?;De 300 Hz à 3 000 Hz;De 3 Hz à 300 Hz;De 300 Hz à 1 000 Hz;De 40 Hz à 40 000 Hz
B-004-001-006;Apart from power and current, which signal property can amplifiers be specifically designed to increase?;Voltage;Phase;Frequency;Linearity;En plus de la puissance et du courant, quelle propriété d'un signal les amplificateurs peuvent-ils être spécifiquement conçus pour augmenter?;Voltage;Phase;Fréquence;Linéarité
B-004-001-007;The increase in signal level by an amplifier is called:;gain;attenuation;amplitude;modulation;L'augmentation du niveau d'un signal par un amplificateur s'appelle:;le gain;l'atténuation;l'amplitude;la modulation
B-004-001-008;A device with gain has the property of:;amplification;attenuation;oscillation;modulation;Un dispositif avec gain a comme propriété:;l'amplification;l'atténuation;l'oscillation;la modulation
B-004-001-009;A device labelled "Gain = 10 dB" is likely to be an:;amplifier;attenuator;oscillator;audio fader;Un dispositif sur lequel on a indiqué "Gain = 10 dB" est un:;amplificateur;atténuateur;oscillateur;équilibreur audio ("fader")
B-004-001-010;What term describes the ratio of output power to DC input power of an amplifier?;Efficiency;Current gain;Dynamic range;Loss factor;Quel terme décrit le rapport entre la puissance de sortie et la puissance d'entrée CC d'un amplificateur?;Rendement;Gain de courant;Plage dynamique;Facteur de perte
B-004-001-011;What is the result of excessive positive feedback in an amplifier stage?;Oscillations appear;Distortion is minimized;Frequency response is flattened;Voltage gain is reduced;Quel est le résultat d'une rétroaction ("feedback") positive excessive dans un amplificateur?;Des oscillations apparaissent;La distorsion est minimisée;La réponse en fréquence est uniformisée;Le gain de tension est réduit
B-004-002-001;A diode is in series in the positive power lead to a transceiver. What is its purpose?;Reverse polarity protection;Protect against voltage transients;Permit AC operation;Overcurrent protection;Une diode est en série dans le fil d'alimentation positif d'un émetteur-récepteur. Quelle est sa fonction?;Protéger contre une inversion de polarité;Protéger contre les surtensions transitoires;Permettre le fonctionnement sous courant alternatif;Protéger contre les surintensités
B-004-002-002;One important application for diodes is recovering information from transmitted signals. This is referred to as:;detection;regeneration;conversion;biasing;Une application importante des diodes est l'extraction de l'information contenue dans les signaux transmis. Cela s'appelle:;la détection;la régénération;la conversion;la polarisation
B-004-002-003;The primary purpose of a Zener diode is to:;regulate or maintain a constant voltage;provide a voltage phase shift;boost the power supply voltage;provide a path through which current can flow;Le rôle principal d'une diode Zener est:;de réguler une tension, c'est-à-dire la maintenir constante;de fournir un déphasage de tension;d'augmenter la tension du bloc d'alimentation;de fournir un trajet par lequel le courant peut circuler
B-004-002-004;The action of changing alternating current to direct current is called:;rectification;amplification;transformation;modulation;Le fait de convertir le courant alternatif en courant continu s'appelle:;le redressement;l'amplification;la transformation;la modulation
B-004-002-005;The electrodes of a semiconductor diode are known as:;anode and cathode;gate and source;collector and base;cathode and drain;Les électrodes d'une diode à semi-conducteur s'appellent:;anode et cathode;porte et source;collecteur et base;cathode et drain
B-004-002-006;If alternating current is applied to the anode of a diode, what would you expect to see at the cathode?;Pulsating direct current;No signal;Steady direct current;Pulsating alternating current;Si on applique un courant alternatif à l'anode d'une diode, que retrouve-t-on à la cathode?;Du courant continu pulsatif;Aucun signal;Du courant continu constant;Du courant alternatif pulsatif
B-004-002-007;In a semiconductor diode, electrons flow from:;cathode to anode;anode to cathode;source to drain;base to collector;Dans une diode à semi-conducteur, les électrons circulent:;de la cathode à l'anode;de l'anode à la cathode;de la source au drain;de la base au collecteur
B-004-002-008;What semiconductor device glows different colours, depending upon its chemical composition?;A light-emitting diode;A fluorescent bulb;A neon bulb;A vacuum diode;Quel composant à semi-conducteur s'illumine de diverses couleurs selon sa composition chimique?;Une diode électroluminescente;Une lampe fluorescente;Une lampe au néon;Une diode à vide
B-004-002-009;Which property of a semiconductor diode permits its use for reverse-polarity protection?;It conducts in one direction only;It has a high response speed;Its peak inverse voltage is below 1 volt;It has high forward resistance;Une diode à semi-conducteur peut être utilisée pour protéger d'une inversion de polarité. Laquelle de ses propriétés le permet?;Elle conduit dans une seule direction;Elle a une vitesse de réponse élevée;Sa tension inverse de crête est inférieure à 1 volt;Elle a une haute résistance en polarisation directe
B-004-002-010;In order for a diode to conduct, it must be:;forward biased;close coupled;enhanced;reverse biased;Pour qu'une diode conduise, elle doit être:;en polarisation directe;couplée d'une façon rapprochée;enrichie;en polarisation inverse
B-004-003-001;Which of these components can amplify a small signal using low voltages?;Bipolar transistor;Variable resistor;Thyristor;Silicon-controlled rectifier;Lequel des composants suivants peut amplifier un faible signal en utilisant un bas voltage?;Un transistor bipolaire;Une résistance variable;Un thyristor;Un redresseur commandé au silicium
B-004-003-002;What term describes the most basic semiconductor component used to amplify?;Transistor;Varactor;P-N junction;Diode;Quel terme décrit le plus élémentaire composant à semi-conducteur servant à amplifier?;Transistor;Varactor;Jonction P/N;Diode
B-004-003-003;What are the three electrodes of a bipolar transistor?;Collector, emitter and base;Drain, base and source;Collector, source and drain;Gate, source and drain;Quelles sont les trois électrodes du transistor bipolaire?;Le collecteur, l'émetteur et la base;Le drain, la base et la source;Le collecteur, la source et le drain;La porte, la source et le drain
B-004-003-004;If a low-level signal is placed at the input to a transistor and a higher level of the signal is produced at the output, what is this effect called?;Amplification;Detection;Modulation;Rectification;Si l'on applique un signal faible à l'entrée d'un transistor et qu'un signal de niveau plus élevé apparaît à la sortie, comment se nomme cet effet?;Amplification;Détection;Modulation;Redressement
B-004-003-005;What prevents the substitution of a PNP transistor with an NPN transistor?;The polarities are reversed;The current gain would be too low;The electrodes are labelled differently;The frequency response would be limited;Qu'est-ce qui empêche le remplacement d'un transistor PNP par un transistor NPN?;Les polarités sont inversées;Le gain en courant serait trop faible;Les électrodes sont étiquetées différemment;La réponse en fréquence serait limitée
B-004-003-006;A semiconductor device is labelled as a "general purpose audio NPN device." What is it?;Bipolar transistor;Field-effect transistor;Triac;Thyristor;Un composant à semi-conducteur est décrit comme un "composant NPN polyvalent pour fréquences audio". Qu'est-ce que c'est?;Un transistor bipolaire;Un transistor à effet de champ;Un triac;Un thyristor
B-004-003-007;What are the two basic types of bipolar transistors?;NPN and PNP;Diode and triode;Varicap and varistor;P channel and N channel;Quels sont les deux types fondamentaux de transistors bipolaires?;NPN et PNP;Diodes et triodes;Varicap et varistor;Canal P et canal N
B-004-003-008;Which of these operating conditions is most likely to cause a transistor to fail?;Excessive heat;Excessive light;Saturation;Cut-off;Laquelle de ces conditions de fonctionnement est la plus susceptible de provoquer la défaillance d'un transistor?;Un excès de chaleur;Un excès de lumière;La saturation;Le blocage
B-004-003-009;Which electrode of the bipolar transistor controls the output current?;Base;Emitter;Collector;Source;Quelle électrode du transistor bipolaire contrôle le courant de sortie?;La base;L'émetteur;La source;Le collecteur
B-004-003-010;When a bipolar transistor is used as a switch, which electrode controls its state?;Base;Emitter;Collector;Gate;Lorsqu'un transistor bipolaire est utilisé comme interrupteur, quelle électrode commande son état?;Base;Émetteur;Collecteur;Porte
